Hybrid_Schedule,Round,Configs,Epochs,Hit_Probability,Regret
Moderate_Linear,1,100,1,1.0,0.0
Moderate_Linear,2,80,10,1.0,0.0
Moderate_Linear,3,60,30,1.0,0.0
Moderate_Linear,4,40,100,1.0,0.0
Moderate_Linear,5,1,100,0.2,0.001726
Moderate_Standard,1,100,1,1.0,0.0
Moderate_Standard,2,50,10,0.8,0.000183
Moderate_Standard,3,25,30,0.8,0.000102
Moderate_Standard,4,12,100,0.8,0.000102
Moderate_Standard,5,1,100,0.2,0.001076
Moderate_Aggressive,1,100,1,1.0,0.0
Moderate_Aggressive,2,20,10,0.6,0.000431
Moderate_Aggressive,3,5,30,0.6,0.001166
Moderate_Aggressive,4,1,100,0.4,0.002498
Moderate_Gradual,1,100,1,1.0,0.0
Moderate_Gradual,2,90,10,1.0,0.0
Moderate_Gradual,3,80,30,1.0,0.0
Moderate_Gradual,4,70,100,1.0,0.0
Moderate_Gradual,5,1,100,0.0,0.004698
Moderate_TwoStage,1,100,1,1.0,0.0
Moderate_TwoStage,2,50,10,0.8,0.000183
Moderate_TwoStage,3,25,30,0.8,0.000102
Moderate_TwoStage,4,1,100,0.2,0.002134
Aggressive_Linear,1,100,1,1.0,0.0
Aggressive_Linear,2,80,20,0.8,0.000102
Aggressive_Linear,3,60,100,1.0,0.0
Aggressive_Linear,4,1,100,0.0,0.004698
Aggressive_Standard,1,100,1,1.0,0.0
Aggressive_Standard,2,50,20,0.6,0.000246
Aggressive_Standard,3,25,100,1.0,0.0
Aggressive_Standard,4,1,100,0.2,0.001726
Aggressive_Aggressive,1,100,1,1.0,0.0
Aggressive_Aggressive,2,20,20,0.6,0.000471
Aggressive_Aggressive,3,5,100,0.6,0.000293
Aggressive_Aggressive,4,1,100,0.4,0.000416
Aggressive_Gradual,1,100,1,1.0,0.0
Aggressive_Gradual,2,90,20,1.0,0.0
Aggressive_Gradual,3,80,100,1.0,0.0
Aggressive_Gradual,4,1,100,0.0,0.004698
Aggressive_TwoStage,1,100,1,1.0,0.0
Aggressive_TwoStage,2,50,20,0.6,0.000246
Aggressive_TwoStage,3,25,100,1.0,0.0
Aggressive_TwoStage,4,1,100,0.2,0.001726
Conservative_Linear,1,100,5,1.0,0.0
Conservative_Linear,2,80,20,0.8,0.000102
Conservative_Linear,3,60,50,1.0,0.0
Conservative_Linear,4,40,75,1.0,0.0
Conservative_Linear,5,20,100,0.8,0.000102
Conservative_Linear,6,1,100,0.0,0.001568
Conservative_Standard,1,100,5,1.0,0.0
Conservative_Standard,2,50,20,0.6,0.000246
Conservative_Standard,3,25,50,1.0,0.0
Conservative_Standard,4,12,75,0.8,0.000102
Conservative_Standard,5,6,100,0.8,0.000102
Conservative_Standard,6,1,100,0.4,0.00055
Conservative_Aggressive,1,100,5,1.0,0.0
Conservative_Aggressive,2,20,20,0.6,0.000471
Conservative_Aggressive,3,5,50,0.4,0.000191
Conservative_Aggressive,4,1,75,0.4,0.00055
Conservative_Gradual,1,100,5,1.0,0.0
Conservative_Gradual,2,90,20,1.0,0.0
Conservative_Gradual,3,80,50,1.0,0.0
Conservative_Gradual,4,70,75,1.0,0.0
Conservative_Gradual,5,60,100,1.0,0.0
Conservative_Gradual,6,1,100,0.0,0.004698
Conservative_TwoStage,1,100,5,1.0,0.0
Conservative_TwoStage,2,50,20,0.6,0.000246
Conservative_TwoStage,3,25,50,1.0,0.0
Conservative_TwoStage,4,1,75,0.2,0.001726
VeryAggressive_Linear,1,100,1,1.0,0.0
VeryAggressive_Linear,2,80,50,1.0,0.0
VeryAggressive_Linear,3,60,100,1.0,0.0
VeryAggressive_Linear,4,1,100,0.0,0.004698
VeryAggressive_Standard,1,100,1,1.0,0.0
VeryAggressive_Standard,2,50,50,1.0,0.0
VeryAggressive_Standard,3,25,100,1.0,0.0
VeryAggressive_Standard,4,1,100,0.0,0.002255
VeryAggressive_Aggressive,1,100,1,1.0,0.0
VeryAggressive_Aggressive,2,20,50,0.6,0.00031
VeryAggressive_Aggressive,3,5,100,0.6,0.000391
VeryAggressive_Aggressive,4,1,100,0.4,0.000535
VeryAggressive_Gradual,1,100,1,1.0,0.0
VeryAggressive_Gradual,2,90,50,1.0,0.0
VeryAggressive_Gradual,3,80,100,1.0,0.0
VeryAggressive_Gradual,4,1,100,0.0,0.004698
VeryAggressive_TwoStage,1,100,1,1.0,0.0
VeryAggressive_TwoStage,2,50,50,1.0,0.0
VeryAggressive_TwoStage,3,25,100,1.0,0.0
VeryAggressive_TwoStage,4,1,100,0.0,0.002255
Standard_Linear,1,100,1,1.0,0.0
Standard_Linear,2,80,5,1.0,0.0
Standard_Linear,3,60,15,1.0,0.0
Standard_Linear,4,40,30,1.0,0.0
Standard_Linear,5,20,50,0.8,0.000102
Standard_Linear,6,1,70,0.2,0.001039
Standard_Standard,1,100,1,1.0,0.0
Standard_Standard,2,50,5,0.8,0.000102
Standard_Standard,3,25,15,0.8,0.000102
Standard_Standard,4,12,30,0.8,0.000223
Standard_Standard,5,6,50,0.8,0.000223
Standard_Standard,6,3,70,0.4,0.00067
Standard_Standard,7,1,100,0.4,0.000681
Standard_Aggressive,1,100,1,1.0,0.0
Standard_Aggressive,2,20,5,0.8,0.00046
Standard_Aggressive,3,5,15,0.4,0.001345
Standard_Aggressive,4,1,30,0.4,0.001347
Standard_Gradual,1,100,1,1.0,0.0
Standard_Gradual,2,90,5,1.0,0.0
Standard_Gradual,3,80,15,1.0,0.0
Standard_Gradual,4,70,30,1.0,0.0
Standard_Gradual,5,60,50,1.0,0.0
